animal,condition,injection,n,mean_gr,median_gr,std_gr,mean_diam,median_diam
TKFG 17.1g,DREADD,Gq,208,0.7127136950481389,0.7094733104313533,0.08644472176191463,0.5863505334260336,0.5242068758262728
TKFG 17.1g,GFP,Gq,922,0.6846056964340607,0.6854848073771844,0.11643568759786092,0.5923803253191187,0.5273691563025638
TKFG 18.1f,DREADD,Gq,266,0.7463867980640716,0.746717283838947,0.07382569071222056,0.7670657168173394,0.7080902011539523
TKFG 18.1f,GFP,Gq,822,0.6920503168289457,0.6931286426899419,0.0866392841566011,0.6254959918128371,0.5790788892482133
TKFG 19.1c,DREADD,Gi,312,0.7198135486704093,0.7233175291166571,0.05780573336060311,0.8006869813136189,0.7169771234842324
TKFG 19.1c,GFP,Gi,407,0.7486257033753617,0.7513040677907684,0.060759977689717096,0.7164740522820268,0.6453093953643507
TKFG 19.1e,GFP,Gi,258,0.7353995641724955,0.7252488174846421,0.17699698169317601,0.6246947520968883,0.5344275970018899
TKFG 19.1f,GFP,Gi,318,0.6875401464822241,0.6959026746817636,0.07493291880478317,0.731477586221263,0.667450729213686
TKFG 19.1g,DREADD,Gi,853,0.687638849905922,0.6911383360472412,0.07504144712135741,0.6407034019816924,0.5714285327118305
TKFG 19.1g,GFP,Gi,286,0.725134655236363,0.7296214648614221,0.07268149119525613,0.7181753504148206,0.6425320431642257
TKFG 21.1g,GFP,Gq,304,0.7455193654722824,0.7508498624773374,0.07886815466654293,0.7556588918220138,0.6698162570513301
